profile,actor,DPS,increase
composite,Weapon-Deadly-Navigation,9955,2.43%,
composite,Weapon-Masterful-Navigation,9924,2.11%,
composite,Weapon-Versatile-Navigation,9916,2.03%,
composite,Weapon-Quick-Navigation,9908,1.94%,
composite,Ring-Mast-37,9732,0.13%,
composite,Ring-Crit-37,9727,0.08%,
composite,Ring-Haste-37,9720,0.01%,
composite,Base,9719,0.00%,
composite,Ring-Vers-37,9704,-0.15%,
composite,Weapon-Torrent-of-Elements,9701,-0.18%,
taloc,Weapon-Quick-Navigation,10775,2.49%,
taloc,Weapon-Deadly-Navigation,10770,2.44%,
taloc,Weapon-Masterful-Navigation,10719,1.95%,
taloc,Weapon-Versatile-Navigation,10714,1.90%,
taloc,Ring-Haste-37,10581,0.64%,
taloc,Ring-Crit-37,10579,0.62%,
taloc,Ring-Mast-37,10554,0.39%,
taloc,Base,10513,0.00%,
taloc,Weapon-Torrent-of-Elements,10492,-0.21%,
taloc,Ring-Vers-37,10441,-0.69%,
mother,Weapon-Masterful-Navigation,7933,5.96%,
mother,Weapon-Versatile-Navigation,7673,2.50%,
mother,Weapon-Deadly-Navigation,7664,2.37%,
mother,Base,7486,0.00%,
mother,Ring-Haste-37,7421,-0.87%,
mother,Ring-Crit-37,7410,-1.02%,
mother,Ring-Vers-37,7349,-1.83%,
mother,Weapon-Quick-Navigation,7346,-1.88%,
mother,Weapon-Torrent-of-Elements,7295,-2.55%,
mother,Ring-Mast-37,7235,-3.35%,
fetid,Weapon-Deadly-Navigation,12507,2.50%,
fetid,Weapon-Quick-Navigation,12464,2.15%,
fetid,Weapon-Versatile-Navigation,12446,2.01%,
fetid,Weapon-Masterful-Navigation,12436,1.93%,
fetid,Ring-Haste-37,12269,0.56%,
fetid,Ring-Crit-37,12266,0.53%,
fetid,Ring-Mast-37,12254,0.43%,
fetid,Ring-Vers-37,12249,0.39%,
fetid,Base,12201,0.00%,
fetid,Weapon-Torrent-of-Elements,12198,-0.02%,
zekvoz,Weapon-Deadly-Navigation,13121,2.42%,
zekvoz,Weapon-Versatile-Navigation,13083,2.12%,
zekvoz,Weapon-Quick-Navigation,13059,1.93%,
zekvoz,Weapon-Masterful-Navigation,13056,1.91%,
zekvoz,Ring-Crit-37,12897,0.67%,
zekvoz,Ring-Vers-37,12882,0.55%,
zekvoz,Ring-Mast-37,12875,0.49%,
zekvoz,Ring-Haste-37,12865,0.42%,
zekvoz,Weapon-Torrent-of-Elements,12815,0.03%,
zekvoz,Base,12812,0.00%,
vectis,Weapon-Deadly-Navigation,11114,2.50%,
vectis,Weapon-Quick-Navigation,11111,2.47%,
vectis,Weapon-Versatile-Navigation,11062,2.02%,
vectis,Weapon-Masterful-Navigation,11042,1.83%,
vectis,Weapon-Torrent-of-Elements,10943,0.92%,
vectis,Ring-Haste-37,10932,0.82%,
vectis,Ring-Vers-37,10925,0.76%,
vectis,Ring-Crit-37,10921,0.71%,
vectis,Ring-Mast-37,10917,0.68%,
vectis,Base,10843,0.00%,
zul,Weapon-Quick-Navigation,14227,2.60%,
zul,Weapon-Deadly-Navigation,14206,2.44%,
zul,Weapon-Versatile-Navigation,14141,1.98%,
zul,Weapon-Masterful-Navigation,14134,1.93%,
zul,Ring-Mast-37,13930,0.46%,
zul,Base,13867,0.00%,
zul,Weapon-Torrent-of-Elements,13865,-0.01%,
zul,Ring-Haste-37,13754,-0.81%,
zul,Ring-Vers-37,13751,-0.84%,
zul,Ring-Crit-37,13727,-1.01%,
ghuun,Weapon-Deadly-Navigation,11865,2.35%,
ghuun,Weapon-Quick-Navigation,11858,2.29%,
ghuun,Weapon-Versatile-Navigation,11824,1.99%,
ghuun,Weapon-Masterful-Navigation,11822,1.98%,
ghuun,Ring-Crit-37,11652,0.51%,
ghuun,Ring-Vers-37,11641,0.42%,
ghuun,Ring-Mast-37,11641,0.42%,
ghuun,Ring-Haste-37,11596,0.03%,
ghuun,Weapon-Torrent-of-Elements,11594,0.01%,
ghuun,Base,11593,0.00%,
