profile,actor,DPS,int,haste,crit,mastery,vers,dpsW,
composite,FotM_ToF_AS_LI_DA,24570,1.00,1.63,1.58,1.20,1.22,0.44,
composite,SWV_ToF_AS_VT_LotV,24524,1.00,1.55,1.57,1.12,1.22,0.44,
composite,SWV_ToF_AS_LI_DA,24498,1.00,1.63,1.57,1.20,1.21,0.44,
composite,SWV_ToF_SC_MB_LotV,24489,1.00,1.49,1.41,1.13,1.22,0.44,
composite,FotM_ToF_AS_LI_STM,24460,1.00,1.62,1.53,1.19,1.20,0.43,
composite,SWV_ToF_AS_LI_LotV,24425,1.00,1.59,1.59,1.19,1.22,0.43,
composite,FotM_ToF_AS_LI_LotV,24393,1.00,1.64,1.58,1.20,1.21,0.44,
composite,FotM_ToF_SC_MB_LotV,24367,1.00,1.52,1.42,1.13,1.21,0.44,
composite,FotM_ToF_AS_VT_LotV,24353,1.00,1.55,1.57,1.12,1.22,0.44,
composite,SWV_ToF_AS_LI_STM,24320,1.00,1.56,1.54,1.20,1.21,0.44,
composite,SWV_ToF_AS_VT_DA,24314,1.00,1.49,1.56,1.13,1.22,0.44,
composite,SWV_ToF_SC_MB_DA,24286,1.00,1.44,1.40,1.13,1.21,0.44,
composite,FotM_ToF_AS_VT_DA,24280,1.00,1.52,1.54,1.11,1.20,0.44,
composite,SWV_DV_AS_VT_LotV,24259,1.00,1.53,1.57,1.09,1.22,0.45,
composite,FotM_ToF_SC_MB_DA,24242,1.00,1.46,1.39,1.11,1.19,0.44,
composite,SWV_ToF_SC_VT_LotV,24234,1.00,1.49,1.41,1.09,1.21,0.45,
composite,SWV_ToF_SC_LI_LotV,24230,1.00,1.52,1.40,1.18,1.21,0.44,
composite,SWV_ToF_SC_LI_DA,24220,1.00,1.57,1.40,1.18,1.21,0.44,
composite,FotM_ToF_SC_LI_DA,24196,1.00,1.61,1.39,1.17,1.20,0.44,
composite,SWV_DV_AS_LI_LotV,24159,1.00,1.69,1.60,1.18,1.22,0.45,
composite,FotM_ToF_SC_LI_STM,24139,1.00,1.53,1.38,1.17,1.20,0.44,
composite,FotM_ToF_SC_LI_LotV,24139,1.00,1.57,1.42,1.18,1.22,0.44,
composite,FotM_DV_AS_LI_LotV,24139,1.00,1.67,1.59,1.16,1.21,0.44,
composite,FotM_DV_AS_VT_LotV,24135,1.00,1.50,1.57,1.10,1.23,0.45,
composite,FotM_DV_AS_LI_DA,24073,1.00,1.57,1.57,1.17,1.23,0.45,
composite,SWV_DV_AS_VT_DA,24069,1.00,1.47,1.55,1.09,1.21,0.45,
composite,FotM_ToF_SC_VT_LotV,24059,1.00,1.48,1.42,1.10,1.21,0.45,
composite,SWV_ToF_SWD_VT_LotV,24057,1.00,1.52,1.40,1.10,1.21,0.45,
composite,FotM_ToF_SWD_LI_DA,24048,1.00,1.57,1.41,1.18,1.20,0.44,
composite,SWV_ToF_SC_LI_STM,24047,1.00,1.51,1.37,1.17,1.19,0.44,
composite,SWV_DV_AS_LI_DA,24045,1.00,1.54,1.56,1.16,1.23,0.45,
