profile,actor,DPS,int,haste,crit,mastery,vers,
composite,SWV_Mis_SWD_LI_DA,8547,0.88,1.83,3.63,0.92,1.23,
composite,FotM_ToF_SC_VT_DA,9092,0.88,0.73,0.85,0.67,0.64,
composite,SWV_ToF_SC_MB_STM,9204,0.88,0.61,0.60,0.76,0.44,
composite,SI_DV_SC_VT_LotV,8887,0.88,0.76,0.80,0.71,0.72,
composite,SI_Mis_AS_MB_DA,8928,0.88,-1.87,-1.08,1.94,-0.95,
composite,SI_Mis_SC_LI_DA,8719,0.88,-2.73,1.50,-0.38,-2.58,
composite,SWV_Mis_AS_LI_STM,8209,0.88,1.15,1.13,1.46,0.88,
composite,SI_ToF_SC_MB_LotV,9477,0.88,0.80,0.83,0.57,0.58,
composite,SWV_Mis_SC_MB_LotV,9521,0.88,0.74,0.77,0.67,0.72,
composite,SWV_Mis_SWD_VT_LotV,8660,0.88,0.75,0.84,0.66,0.66,
composite,SWV_DV_AS_LI_DA,8501,0.88,0.90,0.96,0.68,0.61,
composite,FotM_Mis_AS_LI_DA,8607,0.88,0.80,0.85,0.62,0.69,
composite,FotM_DV_SWD_LI_STM,8354,0.88,0.87,0.79,0.68,0.64,
composite,FotM_DV_AS_LI_STM,8323,0.88,-1.77,0.78,-7.80,0.54,
composite,FotM_DV_SC_MB_STM,9214,0.88,0.74,0.71,0.59,0.64,
composite,SWV_DV_SC_VT_STM,8575,0.88,0.77,0.93,0.55,0.53,
