profile,actor,DPS,corruption,value,
composite,Gushing_Wound_1,74418,15,206.78%,
composite,Infinite_Star_3,85726,75,192.12%,
composite,Infinite_Star_1,75155,20,191.92%,
composite,Infinite_Star_2,80894,50,191.55%,
composite,Echoing_Void_2,78019,35,191.49%,
composite,Echoing_Void_3,82298,60,183.02%,
composite,Echoing_Void_1,75861,25,181.76%,
composite,Percent_Crit_3,74653,20,166.80%,
composite,Percent_Crit_2,73809,15,166.14%,
composite,Percent_Crit_1,72972,10,165.58%,
composite,Percent_Haste_1,72922,10,160.56%,
composite,Percent_Haste_3,74523,20,160.31%,
composite,Percent_Haste_2,73718,15,160.07%,
composite,Flash_of_Insight_1,73826,20,125.47%,
composite,Haste_Proc_1,73148,15,122.12%,
composite,Haste_Proc_2,73709,20,119.60%,
composite,Haste_Proc_3,75398,35,116.61%,
composite,Twilight_Devastation_1,73651,25,93.38%,
composite,Twilight_Devastation_2,75947,50,92.61%,
composite,Twilight_Devastation_3,78229,75,92.16%,
composite,Crit_DMG_3,72995,20,83.90%,
composite,Crit_DMG_2,72575,15,83.88%,
composite,Crit_DMG_1,72150,10,83.34%,
composite,Mastery_Proc_3,73962,35,75.60%,
composite,Mastery_Proc_2,72828,20,75.59%,
composite,Mastery_Proc_1,72442,15,75.00%,
composite,Glimpse_of_Clarity_1,72423,15,73.75%,
composite,Crit_Proc_1,71988,15,44.79%,
composite,Crit_Proc_2,72200,20,44.18%,
composite,Crit_Proc_3,72834,35,43.36%,
composite,Void_Ritual_3,74118,66,42.44%,
composite,Void_Ritual_2,72775,35,41.67%,
composite,Ineffable_Truth_2,73335,50,40.37%,
composite,Void_Ritual_1,71915,15,39.87%,
composite,Percent_Vers_1,71713,10,39.61%,
composite,Percent_Vers_2,71899,15,38.79%,
composite,Percent_Vers_3,72084,20,38.36%,
composite,Ineffable_Truth_1,72340,30,34.10%,
composite,Percent_Mast_1,71635,10,31.80%,
composite,Percent_Mast_2,71790,15,31.55%,
composite,Percent_Mast_3,71941,20,31.20%,
composite,Lash_of_the_Void_1,71832,25,20.60%,
composite,Twisted_Appendage_1,71330,15,0.87%,
composite,Versatility_Proc_3,71343,35,0.74%,
composite,Twisted_Appendage_2,71341,35,0.69%,
composite,Versatility_Proc_2,71329,20,0.64%,
composite,Versatility_Proc_1,71320,15,0.24%,
composite,Base,71317,0,0.00%,
composite,Twisted_Appendage_3,71310,66,0.00%,
single_target,Infinite_Star_2,75285,50,220.14%,
single_target,Infinite_Star_1,68678,20,220.03%,
single_target,Infinite_Star_3,80767,75,219.85%,
single_target,Gushing_Wound_1,67265,15,199.20%,
single_target,Echoing_Void_2,70646,35,181.97%,
single_target,Echoing_Void_3,74689,60,173.52%,
single_target,Echoing_Void_1,68561,25,171.34%,
single_target,Percent_Crit_3,67260,20,149.11%,
single_target,Percent_Haste_1,65750,10,147.22%,
single_target,Percent_Crit_2,66480,15,146.87%,
single_target,Percent_Crit_1,65734,10,145.68%,
single_target,Percent_Haste_2,66462,15,145.64%,
single_target,Percent_Haste_3,67159,20,144.06%,
single_target,Flash_of_Insight_1,66495,20,110.86%,
single_target,Haste_Proc_1,65938,15,110.71%,
single_target,Haste_Proc_2,66448,20,108.54%,
single_target,Haste_Proc_3,68027,35,107.14%,
single_target,Crit_DMG_3,65820,20,77.15%,
single_target,Crit_DMG_2,65430,15,76.81%,
single_target,Crit_DMG_1,65042,10,76.44%,
single_target,Glimpse_of_Clarity_1,65372,15,72.99%,
single_target,Mastery_Proc_1,65296,15,67.92%,
single_target,Mastery_Proc_2,65632,20,67.71%,
single_target,Mastery_Proc_3,66641,35,67.53%,
single_target,Twilight_Devastation_1,65855,25,63.12%,
single_target,Twilight_Devastation_2,67408,50,62.62%,
single_target,Twilight_Devastation_3,68880,75,61.37%,
single_target,Crit_Proc_1,64893,15,41.03%,
single_target,Crit_Proc_2,65082,20,40.22%,
single_target,Percent_Vers_1,64671,10,39.32%,
single_target,Crit_Proc_3,65652,35,39.26%,
single_target,Void_Ritual_3,66774,66,37.83%,
single_target,Void_Ritual_2,65590,35,37.50%,
single_target,Ineffable_Truth_2,66145,50,37.36%,
single_target,Percent_Vers_2,64830,15,36.86%,
single_target,Void_Ritual_1,64821,15,36.20%,
single_target,Percent_Vers_3,64974,20,34.84%,
single_target,Ineffable_Truth_1,65258,30,32.69%,
single_target,Percent_Mast_1,64573,10,29.59%,
single_target,Percent_Mast_3,64855,20,28.87%,
single_target,Percent_Mast_2,64709,15,28.74%,
single_target,Lash_of_the_Void_1,64812,25,21.38%,
single_target,Twisted_Appendage_1,64302,15,1.66%,
single_target,Versatility_Proc_2,64304,20,1.31%,
single_target,Versatility_Proc_1,64295,15,1.17%,
single_target,Twisted_Appendage_2,64314,35,1.04%,
single_target,Versatility_Proc_3,64305,35,0.80%,
single_target,Twisted_Appendage_3,64278,66,0.01%,
single_target,Base,64277,0,0.00%,
