profile,actor,DPS,corruption,value,
dungeons,Gushing_Wound_1,75246,15,186.06%,
dungeons,Percent_Crit_3,75613,20,157.90%,
dungeons,Percent_Crit_2,74806,15,156.77%,
dungeons,Percent_Crit_1,73995,10,153.98%,
dungeons,Percent_Haste_2,74721,15,151.07%,
dungeons,Percent_Haste_3,75423,20,148.40%,
dungeons,Percent_Haste_1,73936,10,148.08%,
dungeons,Twilight_Devastation_2,79592,50,142.74%,
dungeons,Twilight_Devastation_3,83047,75,141.23%,
dungeons,Twilight_Devastation_1,75971,25,140.66%,
dungeons,Flash_of_Insight_1,74481,20,101.30%,
dungeons,Haste_Proc_1,73916,15,97.42%,
dungeons,Haste_Proc_2,74388,20,96.69%,
dungeons,Haste_Proc_3,75837,35,96.63%,
dungeons,Crit_DMG_1,73378,10,92.30%,
dungeons,Crit_DMG_2,73804,15,89.94%,
dungeons,Infinite_Star_3,79151,75,89.29%,
dungeons,Crit_DMG_3,74227,20,88.60%,
dungeons,Twisted_Appendage_3,78227,66,87.46%,
dungeons,Twisted_Appendage_2,75473,35,86.24%,
dungeons,Infinite_Star_2,76701,50,84.92%,
dungeons,Infinite_Star_1,74135,20,84.04%,
dungeons,Void_Ritual_3,77989,66,83.85%,
dungeons,Crit_Proc_3,75332,35,82.22%,
dungeons,Void_Ritual_2,75262,35,80.21%,
dungeons,Crit_Proc_2,74058,20,80.15%,
dungeons,Void_Ritual_1,73591,15,75.76%,
dungeons,Crit_Proc_1,73573,15,74.58%,
dungeons,Mastery_Proc_3,75002,35,72.77%,
dungeons,Mastery_Proc_2,73891,20,71.81%,
dungeons,Mastery_Proc_1,73522,15,71.17%,
dungeons,Echoing_Void_2,74864,35,68.84%,
dungeons,Echoing_Void_1,74137,25,67.28%,
dungeons,Echoing_Void_3,76444,60,66.49%,
dungeons,Twisted_Appendage_1,73291,15,55.74%,
dungeons,Percent_Mast_3,72970,20,25.78%,
dungeons,Glimpse_of_Clarity_1,72841,15,25.73%,
dungeons,Percent_Mast_2,72794,15,22.63%,
dungeons,Ineffable_Truth_2,73094,30,21.30%,
dungeons,Percent_Mast_1,72646,10,19.10%,
dungeons,Percent_Vers_3,72792,20,16.87%,
dungeons,Percent_Vers_2,72673,15,14.58%,
dungeons,Percent_Vers_1,72600,10,14.55%,
dungeons,Ineffable_Truth_1,72619,12,13.67%,
dungeons,Versatility_Proc_2,72470,20,0.77%,
dungeons,Versatility_Proc_1,72455,15,0.03%,
dungeons,Base,72455,0,0.00%,
dungeons,Lash_of_the_Void_1,72439,25,0.00%,
dungeons,Versatility_Proc_3,72432,35,0.00%,
