profile,actor,DPS,corruption,value,
dungeons,Gushing_Wound_1,77162,15,232.34%,
dungeons,Percent_Crit_2,76300,15,174.91%,
dungeons,Echoing_Void_2,79780,35,174.37%,
dungeons,Percent_Crit_3,77143,20,173.34%,
dungeons,Percent_Crit_1,75401,10,172.43%,
dungeons,Echoing_Void_3,83655,60,166.31%,
dungeons,Echoing_Void_1,77773,25,163.86%,
dungeons,Percent_Haste_1,75277,10,160.07%,
dungeons,Percent_Haste_3,76854,20,158.88%,
dungeons,Percent_Haste_2,76029,15,156.83%,
dungeons,Twilight_Devastation_3,83741,75,134.19%,
dungeons,Twilight_Devastation_2,80364,50,133.75%,
dungeons,Twilight_Devastation_1,76992,25,132.63%,
dungeons,Flash_of_Insight_1,75900,20,111.18%,
dungeons,Haste_Proc_2,75803,20,106.30%,
dungeons,Haste_Proc_1,75224,15,103.18%,
dungeons,Haste_Proc_3,77273,35,102.76%,
dungeons,Crit_DMG_1,74593,10,91.61%,
dungeons,Crit_DMG_3,75499,20,91.12%,
dungeons,Infinite_Star_3,80365,75,89.18%,
dungeons,Crit_DMG_2,74995,15,87.87%,
dungeons,Infinite_Star_2,77894,50,84.34%,
dungeons,Infinite_Star_1,75358,20,84.05%,
dungeons,Mastery_Proc_3,76294,35,74.79%,
dungeons,Mastery_Proc_2,75169,20,74.63%,
dungeons,Mastery_Proc_1,74786,15,73.98%,
dungeons,Twisted_Appendage_3,77560,66,58.84%,
dungeons,Twisted_Appendage_2,75682,35,57.31%,
dungeons,Crit_Proc_3,75290,35,46.09%,
dungeons,Crit_Proc_2,74561,20,44.23%,
dungeons,Crit_Proc_1,74338,15,44.12%,
dungeons,Void_Ritual_2,75187,35,43.14%,
dungeons,Void_Ritual_3,76470,66,42.32%,
dungeons,Void_Ritual_1,74278,15,40.09%,
dungeons,Twisted_Appendage_1,74257,15,38.66%,
dungeons,Glimpse_of_Clarity_1,74121,15,29.61%,
dungeons,Percent_Mast_1,73969,10,29.25%,
dungeons,Percent_Mast_3,74199,20,26.10%,
dungeons,Percent_Mast_2,74051,15,24.98%,
dungeons,Percent_Vers_2,73999,15,21.51%,
dungeons,Percent_Vers_1,73883,10,20.68%,
dungeons,Percent_Vers_3,74038,20,18.05%,
dungeons,Ineffable_Truth_2,74330,50,13.07%,
dungeons,Ineffable_Truth_1,73818,30,4.72%,
dungeons,Base,73677,0,0.00%,
dungeons,Versatility_Proc_1,73676,15,0.00%,
dungeons,Versatility_Proc_3,73661,35,0.00%,
dungeons,Lash_of_the_Void_1,73658,25,0.00%,
dungeons,Versatility_Proc_2,73655,20,0.00%,
