profile,actor,DPS,increase
composite,Bountiful_Captains_Feast,12574,1.54%,
composite,Swamp_Fish_n_Chips,12559,1.41%,
composite,Galley Banquet,12525,1.14%,
composite,Spiced_Snapper,12481,0.79%,
composite,Sailors_Pie,12477,0.75%,
composite,Honey-Glazed_Haunches,12385,0.01%,
composite,Base,12384,0.00%,
composite,Battle-Scarred Augment Rune,12382,-0.01%,
composite,Potion,12294,-0.72%,
single_target,Bountiful_Captains_Feast,11564,1.51%,
single_target,Galley Banquet,11520,1.12%,
single_target,Swamp_Fish_n_Chips,11515,1.08%,
single_target,Sailors_Pie,11481,0.78%,
single_target,Spiced_Snapper,11480,0.78%,
single_target,Honey-Glazed_Haunches,11393,0.01%,
single_target,Base,11392,0.00%,
single_target,Battle-Scarred Augment Rune,11389,-0.03%,
single_target,Potion,11307,-0.75%,
