profile,actor,DPS,increase
composite,Bountiful_Captains_Feast,9696,1.56%,
composite,Galley Banquet,9659,1.16%,
composite,Swamp_Fish_n_Chips,9648,1.05%,
composite,Spiced_Snapper,9623,0.79%,
composite,Sailors_Pie,9619,0.74%,
composite,Base,9548,0.00%,
taloc,Bountiful_Captains_Feast,10484,1.50%,
taloc,Galley Banquet,10450,1.18%,
taloc,Swamp_Fish_n_Chips,10442,1.10%,
taloc,Spiced_Snapper,10410,0.78%,
taloc,Sailors_Pie,10408,0.77%,
taloc,Base,10329,0.00%,
mother,Bountiful_Captains_Feast,7438,2.06%,
mother,Swamp_Fish_n_Chips,7389,1.39%,
mother,Galley Banquet,7383,1.31%,
mother,Spiced_Snapper,7347,0.82%,
mother,Sailors_Pie,7319,0.44%,
mother,Base,7287,0.00%,
fetid,Bountiful_Captains_Feast,12176,1.53%,
fetid,Galley Banquet,12135,1.19%,
fetid,Swamp_Fish_n_Chips,12105,0.95%,
fetid,Spiced_Snapper,12085,0.78%,
fetid,Sailors_Pie,12084,0.77%,
fetid,Base,11992,0.00%,
zekvoz,Bountiful_Captains_Feast,12790,1.54%,
zekvoz,Galley Banquet,12737,1.12%,
zekvoz,Swamp_Fish_n_Chips,12712,0.92%,
zekvoz,Spiced_Snapper,12698,0.81%,
zekvoz,Sailors_Pie,12694,0.78%,
zekvoz,Base,12596,0.00%,
vectis,Bountiful_Captains_Feast,10821,1.57%,
vectis,Galley Banquet,10782,1.20%,
vectis,Swamp_Fish_n_Chips,10769,1.08%,
vectis,Spiced_Snapper,10743,0.84%,
vectis,Sailors_Pie,10737,0.79%,
vectis,Base,10654,0.00%,
zul,Bountiful_Captains_Feast,13840,1.50%,
zul,Swamp_Fish_n_Chips,13798,1.19%,
zul,Galley Banquet,13783,1.09%,
zul,Spiced_Snapper,13738,0.76%,
zul,Sailors_Pie,13733,0.72%,
zul,Base,13635,0.00%,
ghuun,Bountiful_Captains_Feast,11567,1.54%,
ghuun,Galley Banquet,11526,1.17%,
ghuun,Swamp_Fish_n_Chips,11515,1.07%,
ghuun,Spiced_Snapper,11481,0.78%,
ghuun,Sailors_Pie,11476,0.74%,
ghuun,Base,11392,0.00%,
