profile,actor,DPS,increase
composite,Lightforged_Draenei,11224,15.77%,
composite,Dark_Iron_Dwarf,9995,3.09%,
composite,Maghar_Orc,9940,2.52%,
composite,Panda,9846,1.56%,
composite,Troll,9841,1.51%,
composite,Undead,9830,1.39%,
composite,Gnome,9815,1.23%,
composite,Goblin,9814,1.23%,
composite,Draenei,9808,1.16%,
composite,Void_Elf,9797,1.05%,
composite,Night_Elf_Haste,9796,1.04%,
composite,Blood_Elf,9793,1.01%,
composite,Worgen,9792,1.00%,
composite,Night_Elf_Crit,9790,0.98%,
composite,Nightborne,9783,0.90%,
composite,Dwarf,9766,0.73%,
composite,Tauren,9765,0.72%,
composite,Human,9761,0.68%,
composite,Base,9695,0.00%,
taloc,Lightforged_Draenei,11716,11.47%,
taloc,Troll,10676,1.57%,
taloc,Undead,10674,1.55%,
taloc,Panda,10670,1.52%,
taloc,Goblin,10650,1.33%,
taloc,Gnome,10649,1.31%,
taloc,Draenei,10641,1.24%,
taloc,Night_Elf_Haste,10639,1.23%,
taloc,Blood_Elf,10624,1.08%,
taloc,Void_Elf,10620,1.04%,
taloc,Night_Elf_Crit,10618,1.03%,
taloc,Worgen,10614,0.99%,
taloc,Nightborne,10611,0.96%,
taloc,Dark_Iron_Dwarf,10599,0.85%,
taloc,Human,10594,0.79%,
taloc,Dwarf,10584,0.70%,
taloc,Tauren,10582,0.68%,
taloc,Maghar_Orc,10582,0.68%,
taloc,Base,10510,0.00%,
mother,Lightforged_Draenei,9725,32.44%,
mother,Dark_Iron_Dwarf,9695,32.03%,
mother,Maghar_Orc,9680,31.82%,
mother,Gnome,7496,2.08%,
mother,Panda,7454,1.52%,
mother,Dwarf,7454,1.51%,
mother,Goblin,7448,1.43%,
mother,Worgen,7446,1.40%,
mother,Tauren,7436,1.26%,
mother,Troll,7417,1.01%,
mother,Draenei,7405,0.84%,
mother,Void_Elf,7400,0.78%,
mother,Undead,7392,0.67%,
mother,Nightborne,7374,0.43%,
mother,Blood_Elf,7370,0.37%,
mother,Night_Elf_Crit,7358,0.20%,
mother,Base,7343,0.00%,
mother,Human,7270,-0.99%,
mother,Night_Elf_Haste,7226,-1.59%,
fetid,Lightforged_Draenei,13528,10.89%,
fetid,Undead,12402,1.66%,
fetid,Panda,12388,1.55%,
fetid,Void_Elf,12360,1.32%,
fetid,Draenei,12338,1.14%,
fetid,Goblin,12334,1.11%,
fetid,Gnome,12332,1.08%,
fetid,Night_Elf_Haste,12327,1.04%,
fetid,Blood_Elf,12326,1.04%,
fetid,Night_Elf_Crit,12322,1.00%,
fetid,Worgen,12321,1.00%,
fetid,Troll,12321,0.99%,
fetid,Nightborne,12310,0.91%,
fetid,Dark_Iron_Dwarf,12310,0.90%,
fetid,Human,12297,0.80%,
fetid,Dwarf,12285,0.70%,
fetid,Tauren,12282,0.68%,
